sequence,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBzhB5nB9tBzrBOtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBTjB/rBNsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBGjBTmBXsBTtBlsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFFhBXiBTjBxrBTtBSxB,v115@9gA8IeB8HeD8FeE8OeRAJvhFtmBTjBmlBXsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhB5nBTjBmrBTtB8rB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRiBGnBzrBXtB9tB,v115@9gA8IeB8HeD8FeE8OeRAJvhFzhB6oBmlBzrBUtBtsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBimB9sBGmBTtBXsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBSnB/rB9tBTsBOtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBxiB/rBNsBTtBCtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBTmB9tBXsBmsBCtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBtnBTmBesBXtB6tB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjBzmB9tBGnBRxB,v115@9gA8IeB8HeD8FeE8OeUAJvhFZnBtnBTmBXtB6tBGrB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBxmBFmBXnBSxBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRnB9tBGnBzrBXtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhB/rBxnBNsBTtBCtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBNnB/rBToBCoBxxB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjB+tBRsBtrBTsB
OTIJZOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJZOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJOLZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJOSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJOSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJOZL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTISLJZ,O,O,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X
OTISLJO,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OTISLZJ,O,O,X,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X
OTISLZO,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
OTISLOJ,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OTISLOZ,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
OTISJLZ,X,O,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X
OTISJLO,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OTISJZL,X,O,X,X,O,O,X,X,X,O,O,O,X,X,O,X,X,O,X,X
OTISJZO,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X
OTISJOL,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTISJOZ,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
OTISZLJ,O,O,X,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X
OTISZLO,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
OTISZJL,X,O,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X
OTISZJO,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X
OTISZOL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OTISZOJ,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
OTISOLJ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTISOLZ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OTISOJL,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTISOJZ,X,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
OTISOZL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OTISOZJ,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
OTIZLJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTIZLJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTIZLSJ,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
OTIZLSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZLOJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTIZLOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZJLS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTIZJLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTIZJSL,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
OTIZJSO,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
OTIZJOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZJOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZSLJ,O,O,X,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X
OTIZSLO,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
OTIZSJL,X,O,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X
OTIZSJO,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X
OTIZSOL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OTIZSOJ,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
OTIZOLJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTIZOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZOJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZOJS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZOSL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZOSJ,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OTIOLJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLJZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLZJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTIOLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJLZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJZL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJZS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOSLZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOSJL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOSJZ,X,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OTIOSZL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOSZJ,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OTIOZLJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTIOZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOZJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOZJS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOZSL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOZSJ,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OTLIJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTLIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIJZS,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OTLIJZO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIJOZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLISJZ,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
OTLISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLISZJ,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X
OTLISZO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTLISOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLISOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTLIZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OTLIZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLIZSJ,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X
OTLIZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTLIZOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
OTLIZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OTLIOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTLIOZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
OTLIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OTLJISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJIZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLJIZO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLJIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJIOZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJSIO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJSZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJSOI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJSOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJZIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLJZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLJZSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJZSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJZOI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLJZOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLJOIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJOIZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJOZI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLJOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLSIJZ,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
OTLSIJO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OTLSIZJ,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X
OTLSIZO,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
OTLSIOJ,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OTLSIOZ,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
OTLSJIZ,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
OTLSJIO,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
OTLSJZI,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
OTLSJZO,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
OTLSJOI,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
OTLSJOZ,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
OTLSZIJ,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X
OTLSZIO,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
OTLSZJI,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
OTLSZJO,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
OTLSZOI,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OTLSZOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
OTLSOIJ,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OTLSOIZ,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OTLSOJI,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OTLSOJZ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OTLSOZI,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OTLSOZJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
OTLZIJS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OTLZIJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLZISJ,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X
OTLZISO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTLZIOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
OTLZIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OTLZJIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLZJIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLZJSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLZJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLZJOI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLZJOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLZSIJ,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X
OTLZSIO,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
OTLZSJI,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
OTLZSJO,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
OTLZSOI,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OTLZSOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
OTLZOIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
OTLZOIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTLZOJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLZOJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLZOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLZOSJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLOIJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOIJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOISJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOIZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
OTLOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTLOJIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOJIZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOJZI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLOJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLOSIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOSIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOSJI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOSJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOSZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOSZJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLOZIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
OTLOZIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTLOZJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLOZJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLOZSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOZSJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTJILSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJILSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJILZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTJILZO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTJILOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJILOZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJISLZ,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
OTJISLO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
