sequence,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlBumB3iBtqBXsBarB,v115@GhA8HeD8FeD8EeC8JeT/IvhFihB3iB9qBcrBXsBOqB,v115@GhA8HeD8FeD8EeC8Jei/IvhFRhB3iBTmB0qBXsBFqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF0gBlhB3iBxqBXsB2vB,v115@GhA8HeD8FeD8EeC8JeT/IvhFNlBUhBunB3qB3rBasB,v115@GhA8HeD8FeD8EeC8JeT/IvhFdmBRiBCnB0qBXsBOqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF0hBliBxqBXsBKqBfrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlB0hBliBCrBXsBfrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFRhBunB/rBasB0qBNqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF3iBxlB0lBlmB2vBXsB,v115@GhA8HeD8FeD8EeC8JeT/IvhFamBumB3iB0qBXsBNqB,v115@GhA8HeD8FeD8EeC8Jex/IvhFihB3iB9qBcrBXsBmpB,v115@GhA8HeD8FeD8EeC8JeT/IvhFNlBymBunBfsB3qBUrB,v115@GhA8HeD8FeD8EeC8JeiBJvhF3iBxkBcrB9qBXsBmpB,v115@GhA8HeD8FeD8EeC8JeT/IvhF3hBunBdsBiqB/qBUrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFUhBunBdsBiqB/qB3rB,v115@GhA8HeD8FeD8EeC8Je3CJvhFxkBdrBqrBmkBUnB3qB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlB3hB3iBUrBFsBuqB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlBWmB3iB8qBFsB3rB,v115@GhA8HeD8FeD8EeC8Jei/IvhF3iBUlBxrBFrB3qBzrB
SISTOLZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISTOJL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISTOJZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
SISTOZL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
SISTOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SISLTJZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLTJO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLTZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLTZO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLTOJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLTOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLJTZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLJTO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLJZT,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLJZO,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLJOT,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLJOZ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLZTJ,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
SISLZTO,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
SISLZJT,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
SISLZJO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLZOT,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
SISLZOJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLOTJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLOTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLOJT,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLOJZ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLOZT,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISLOZJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISJTLZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJTLO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJTZL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJTZO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJTOL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISJTOZ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISJLTZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJLTO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJLZT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJLZO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJLOT,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SISJLOZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SISJZTL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJZTO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJZLT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
SISJZLO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJZOT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISJZOL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISJOTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISJOTZ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISJOLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISJOLZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISJOZT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISJOZL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISZTLJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O
SISZTLO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O
SISZTJL,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
SISZTJO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
SISZTOL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
SISZTOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISZLTJ,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
SISZLTO,X,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
SISZLJT,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
SISZLJO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISZLOT,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
SISZLOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISZJTL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISZJTO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISZJLT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
SISZJLO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISZJOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISZJOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISZOTL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISZOTJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISZOLT,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
SISZOLJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISZOJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISZOJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISOTLJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISOTLZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISOTJL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISOTJZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
SISOTZL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
SISOTZJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SISOLTJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISOLTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISOLJT,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISOLJZ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISOLZT,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISOLZJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SISOJTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISOJTZ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISOJLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISOJLZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISOJZT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISOJZL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SISOZTL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISOZTJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISOZLT,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
SISOZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SISOZJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SISOZJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZTLJS,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,O
SIZTLJO,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,O
SIZTLSJ,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,O,O,X,O
SIZTLSO,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,O
SIZTLOJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
SIZTLOS,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
SIZTJLS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
SIZTJLO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
SIZTJSL,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
SIZTJSO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
SIZTJOL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
SIZTJOS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
SIZTSLJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O
SIZTSLO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O
SIZTSJL,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
SIZTSJO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
SIZTSOL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
SIZTSOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIZTOLJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
SIZTOLS,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
SIZTOJL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SIZTOJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SIZTOSL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
SIZTOSJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIZLTJS,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
SIZLTJO,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
SIZLTSJ,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O
SIZLTSO,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O
SIZLTOJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
SIZLTOS,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
SIZLJTS,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
SIZLJTO,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
SIZLJST,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
SIZLJSO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZLJOT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SIZLJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZLSTJ,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O
SIZLSTO,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O
SIZLSJT,X,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
SIZLSJO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIZLSOT,X,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
SIZLSOJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIZLOTJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
SIZLOTS,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
SIZLOJT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SIZLOJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZLOST,X,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
SIZLOSJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIZJTLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
SIZJTLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
SIZJTSL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJTSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJTOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJLTS,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
SIZJLTO,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
SIZJLST,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
SIZJLSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJLOT,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SIZJLOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJSTL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJSTO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJSLT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
SIZJSLO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJSOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJSOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJOTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJOLT,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SIZJOLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJOST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZJOSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSTLJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O
SIZSTLO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O
SIZSTJL,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
SIZSTJO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
SIZSTOL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
SIZSTOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSLTJ,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
SIZSLTO,X,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
SIZSLJT,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
SIZSLJO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSLOT,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
SIZSLOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSJTL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSJTO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSJLT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
SIZSJLO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSJOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSJOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSOTL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSOTJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSOLT,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
SIZSOLJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSOJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZSOJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOTLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
SIZOTLS,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
SIZOTJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SIZOTJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SIZOTSL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
SIZOTSJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIZOLTJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
SIZOLTS,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
SIZOLJT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SIZOLJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOLST,X,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
SIZOLSJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIZOJTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOJTS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOJLT,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SIZOJLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOJST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOJSL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOSTL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOSTJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOSLT,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
SIZOSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOSJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOSJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOTLJS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
SIOTLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
SIOTLSJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOTLSZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOTLZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
SIOTLZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
SIOTJLS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
SIOTJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
SIOTJSL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOTJSZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
SIOTJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SIOTJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SIOTSLJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOTSLZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOTSJL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOTSJZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
SIOTSZL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOTSZJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOTZLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOTZLS,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
SIOTZJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SIOTZJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SIOTZSL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOTZSJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOLTJS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
SIOLTJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
SIOLTSJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOLTSZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOLTZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOLTZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
SIOLJTS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
SIOLJTZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOLJST,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOLJSZ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOLJZT,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SIOLJZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOLSTJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOLSTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOLSJT,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOLSJZ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOLSZT,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOLSZJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOLZTJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
SIOLZTS,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
SIOLZJT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SIOLZJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOLZST,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOLZSJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOJTLS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
SIOJTLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
SIOJTSL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJTSZ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
