sequence,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlBumB3iBtqBXsBarB,v115@GhA8HeD8FeD8EeC8JeT/IvhFihB3iB9qBcrBXsBOqB,v115@GhA8HeD8FeD8EeC8Jei/IvhFRhB3iBTmB0qBXsBFqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF0gBlhB3iBxqBXsB2vB,v115@GhA8HeD8FeD8EeC8JeT/IvhFNlBUhBunB3qB3rBasB,v115@GhA8HeD8FeD8EeC8JeT/IvhFdmBRiBCnB0qBXsBOqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF0hBliBxqBXsBKqBfrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlB0hBliBCrBXsBfrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFRhBunB/rBasB0qBNqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF3iBxlB0lBlmB2vBXsB,v115@GhA8HeD8FeD8EeC8JeT/IvhFamBumB3iB0qBXsBNqB,v115@GhA8HeD8FeD8EeC8Jex/IvhFihB3iB9qBcrBXsBmpB,v115@GhA8HeD8FeD8EeC8JeT/IvhFNlBymBunBfsB3qBUrB,v115@GhA8HeD8FeD8EeC8JeiBJvhF3iBxkBcrB9qBXsBmpB,v115@GhA8HeD8FeD8EeC8JeT/IvhF3hBunBdsBiqB/qBUrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFUhBunBdsBiqB/qB3rB,v115@GhA8HeD8FeD8EeC8Je3CJvhFxkBdrBqrBmkBUnB3qB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlB3hB3iBUrBFsBuqB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlBWmB3iB8qBFsB3rB,v115@GhA8HeD8FeD8EeC8Jei/IvhF3iBUlBxrBFrB3qBzrB
STIJOSL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJOSZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STIJOZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
STIJOZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
STISLJZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STISLJO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STISLZJ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
STISLZO,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
STISLOJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STISLOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STISJLZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STISJLO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STISJZL,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
STISJZO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STISJOL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STISJOZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STISZLJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
STISZLO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
STISZJL,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STISZJO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
STISZOL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STISZOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STISOLJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STISOLZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STISOJL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STISOJZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STISOZL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STISOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STIZLJS,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,O
STIZLJO,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,O
STIZLSJ,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,O,O,X,O
STIZLSO,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,O
STIZLOJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
STIZLOS,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
STIZJLS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
STIZJLO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
STIZJSL,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STIZJSO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
STIZJOL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
STIZJOS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
STIZSLJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O
STIZSLO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O
STIZSJL,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STIZSJO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
STIZSOL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STIZSOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STIZOLJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
STIZOLS,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
STIZOJL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
STIZOJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
STIZOSL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STIZOSJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STIOLJS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
STIOLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
STIOLSJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STIOLSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STIOLZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
STIOLZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
STIOJLS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
STIOJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STIOJSL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOJSZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STIOJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
STIOJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
STIOSLJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STIOSLZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STIOSJL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOSJZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STIOSZL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STIOSZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STIOZLJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STIOZLS,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X
STIOZJL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
STIOZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
STIOZSL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STIOZSJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STLIJSZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STLIJSO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
STLIJZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
STLIJZO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
STLIJOS,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
STLIJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
STLISJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STLISJO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STLISZJ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
STLISZO,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
STLISOJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STLISOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STLIZJS,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,O
STLIZJO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O
STLIZSJ,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,X,O
STLIZSO,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
STLIZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
STLIZOS,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
STLIOJS,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
STLIOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
STLIOSJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STLIOSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STLIOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
STLIOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
STLJISZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
STLJISO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
STLJIZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
STLJIZO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
STLJIOS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
STLJIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X
STLJSIZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJSIO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STLJSZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
STLJSOI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STLJSOZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X
STLJZIS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STLJZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
STLJZSI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STLJZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
STLJZOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
STLJZOS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
STLJOIS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
STLJOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
STLJOSI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STLJOSZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X
STLJOZI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
STLJOZS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
