sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhBTjBxrB8rB+sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
STISOJZ,X,X,X,X,O,O,O,X,X,X,X,O,O,X
STISOZL,O,X,O,O,X,X,X,X,X,X,X,O,X,X
STISOZJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X
STIZLJS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
STIZLJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
STIZLSJ,O,X,X,O,X,O,X,X,X,X,X,X,O,X
STIZLSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STIZLOJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
STIZLOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X
STIZJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIZJLO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIZJSL,X,X,X,X,X,O,O,X,X,X,X,X,O,X
STIZJSO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
STIZJOL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIZJOS,X,X,O,X,X,O,O,X,X,X,X,X,X,X
STIZSLJ,O,X,X,O,X,O,X,X,X,X,X,O,O,X
STIZSLO,O,X,O,O,X,X,X,X,X,X,X,O,O,X
STIZSJL,X,X,O,X,X,O,X,X,X,X,X,O,O,O
STIZSJO,X,X,O,X,X,O,X,X,X,X,X,O,O,O
STIZSOL,O,X,O,O,X,X,X,X,X,X,X,O,X,X
