sequence,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBzhB5nB9tBzrBOtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBGjBTmBXsBTtBlsB,v115@9gA8IeB8HeD8FeE8OeFAJvhFxhBTjBUmBXsBTtBGsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFFhBXiBTjBxrBTtBSxB,v115@9gA8IeB8HeD8FeE8OeRAJvhFtmBTjBmlBXsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhBTjBxrBTtB8rB+sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhB5nBTjBmrBTtB8rB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRiBGnBzrBXtB9tB,v115@9gA8IeB8HeD8FeE8OeRAJvhFzhB6oBmlBzrBUtBtsB,v115@9gA8IeB8HeD8FeE8OeRAJvhFXiBTjBmlB9sBqrBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBimB9sBGmBTtBXsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBTjB/rBNsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBumBTjBXsBTtB9sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBxmBFmBXnBSxBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRnB9tBGnBzrBXtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBtnBTmBesBXtB6tB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjBzmB9tBGnBRxB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjB+tBRsBtrBTsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBSnB/rB9tBTsBOtB
OTIJOZL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIJOZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTISLJZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISLJO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISLZJ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O
OTISLZO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISLOJ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISLOZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISJLZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISJLO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISJZL,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OTISJZO,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OTISJOL,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O
OTISJOZ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OTISZLJ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O
OTISZLO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISZJL,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISZJO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISZOL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISZOJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISOLJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISOLZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISOJL,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O
OTISOJZ,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OTISOZL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISOZJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZLJS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
OTIZLJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
OTIZLSJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
OTIZLSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZLOJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
OTIZLOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTIZJLO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTIZJSL,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
