sequence,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBzhB5nB9tBzrBOtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBGjBTmBXsBTtBlsB,v115@9gA8IeB8HeD8FeE8OeFAJvhFxhBTjBUmBXsBTtBGsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFFhBXiBTjBxrBTtBSxB,v115@9gA8IeB8HeD8FeE8OeRAJvhFtmBTjBmlBXsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhBTjBxrBTtB8rB+sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhB5nBTjBmrBTtB8rB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRiBGnBzrBXtB9tB,v115@9gA8IeB8HeD8FeE8OeRAJvhFzhB6oBmlBzrBUtBtsB,v115@9gA8IeB8HeD8FeE8OeRAJvhFXiBTjBmlB9sBqrBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBimB9sBGmBTtBXsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBTjB/rBNsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBumBTjBXsBTtB9sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBxmBFmBXnBSxBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRnB9tBGnBzrBXtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBtnBTmBesBXtB6tB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjBzmB9tBGnBRxB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjB+tBRsBtrBTsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBSnB/rB9tBTsBOtB
OIZSLJO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSLOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZSLOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSJTL,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O
OIZSJTO,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O
OIZSJLT,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O
OIZSJLO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSJOT,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
OIZSJOL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSOTL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZSOTJ,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZSOLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZSOLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSOJT,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIZSOJL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOTLJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OIZOTLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OIZOTJL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZOTJS,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZOTSL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OIZOTSJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIZOLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIZOLTS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OIZOLJT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIZOLJS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIZOLST,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIZOLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIZOJTL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZOJTS,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZOJLT,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZOJLS,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZOJST,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OIZOJSL,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZOSTL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIZOSTJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIZOSLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOSLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOSJT,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIZOSJL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OIOTLZJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OIOTLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OIOTJLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJLZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJSL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OIOTJSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJZL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJZS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTSLJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOTSLZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OIOTSJL,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OIOTSJZ,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OIOTSZL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OIOTSZJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOTZLJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OIOTZLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OIOTZJL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTZJS,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTZSL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OIOTZSJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOLTJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLTJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLTSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLTSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OIOLTZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOLTZS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OIOLJTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLJTZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLJST,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLJSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLJZT,O,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
OIOLJZS,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
OIOLSTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLSTZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLSJT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLSJZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLSZT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOLSZJ,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOLZTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOLZTS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OIOLZJT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOLZJS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOLZST,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOLZSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOJTLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJTLZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJTSL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OIOJTSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJTZL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJTZS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJLTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJLTZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJLST,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJLSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJLZT,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJLZS,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJSTL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OIOJSTZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OIOJSLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJSLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJSZT,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OIOJSZL,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJZTL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJZTS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJZLT,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJZLS,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJZST,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OIOJZSL,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOSTLJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSTLZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSTJL,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSTJZ,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OIOSTZL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSTZJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSLTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOSLTZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOSLJT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOSLJZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOSLZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOSLZJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOSJTL,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSJTZ,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OIOSJLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOSJLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOSJZT,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OIOSJZL,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOSZTL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSZTJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSZLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOSZLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOSZJT,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSZJL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZTLJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OIOZTLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OIOZTJL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOZTJS,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOZTSL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OIOZTSJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOZLTS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OIOZLJT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOZLJS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOZLST,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOZLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOZJTL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOZJTS,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOZJLT,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOZJLS,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOZJST,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OIOZJSL,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOZSTL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZSTJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZSLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZSLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZSJT,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZSJL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTIJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OLTIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTIJZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
OLTIJZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OLTIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTIJOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTISJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OLTISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTISZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
OLTISZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OLTISOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTISOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OLTIZJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
OLTIZJO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
OLTIZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
OLTIZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OLTIZOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
OLTIZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OLTIOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTIOJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OLTIOZJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
OLTIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OLTJISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTJISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTJIZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OLTJIZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OLTJIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTJIOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTJSIZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OLTJSIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OLTJSZI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OLTJSZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OLTJSOI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OLTJSOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OLTJZIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OLTJZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OLTJZSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OLTJZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OLTJZOI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OLTJZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OLTJOIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTJOIZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTJOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OLTJOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OLTJOZI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OLTJOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OLTSIJZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OLTSIJO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OLTSIZJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,O
OLTSIZO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OLTSIOJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OLTSIOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OLTSJIZ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OLTSJIO,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OLTSJZI,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OLTSJZO,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OLTSJOI,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,O
OLTSJOZ,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,O
OLTSZIJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O
OLTSZIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OLTSZJI,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OLTSZJO,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OLTSZOI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OLTSZOJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
OLTSOIJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OLTSOIZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OLTSOJI,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
OLTSOJZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
OLTSOZI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OLTSOZJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
OLTZIJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
OLTZIJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OLTZISJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
OLTZISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OLTZIOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
OLTZIOS,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OLTZJIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OLTZJIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OLTZJSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OLTZJSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OLTZJOI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OLTZJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OLTZSIJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O
OLTZSIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OLTZSJI,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OLTZSJO,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OLTZSOI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OLTZSOJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
OLTZOIJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
OLTZOIS,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OLTZOJI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OLTZOJS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OLTZOSI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OLTZOSJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
OLTOIJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTOIJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTOISJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTOIZJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
OLTOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OLTOJIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTOJIZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTOJSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OLTOJSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OLTOJZI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OLTOJZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OLTOSIJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OLTOSIZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OLTOSJI,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OLTOSJZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OLTOSZI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OLTOSZJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
OLTOZIJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
OLTOZIS,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OLTOZJI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OLTOZJS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OLTOZSI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OLTOZSJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
OLITJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OLITJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLITJZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
OLITJZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
