sequence,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEamB5nBTjBdsBur?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhBTjB/rBNsB6s?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhERhBGjBTmBXsBls?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEFhBXiBTjBxrBSx?B,v115@9gA8IeB8HeD8DeG8CeB8JeRAJvhEtmBTjBmlBXsB6s?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhEXhBTjBxrB8rB+s?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhEXhB5nBTjBmrB8r?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhETjBxmBFmBXnBSx?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEamBumBTjBXsB9s?B,v115@9gA8IeB8HeD8DeG8CeB8JeRAJvhEXiBTjBmlB9sBqr?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhETjBimB9sBGmBXs?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhB/rBxnBNsBCt?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhBxiB/rBNsBCt?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhExhBTjBUmBXsBGs?B
TISOLZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TISOJZL,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TISOZLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TISOZJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIZLJSO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TIZLSOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZLOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZJLSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIZJLOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIZJSOL,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIZJOLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TIZSLJO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
TIZSLOJ,O,O,X,O,X,X,X,X,X,X,X,X,O,O
TIZSJLO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TIZSJOL,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TIZSOLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TIZSOJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIZOLJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZOLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZOJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TIZOSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TIZOSJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIOLJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOLZSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOJSZL,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOJZLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TIOSJZL,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TIOSZLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TIOSZJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIOZLJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TIOZJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TIOZSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TIOZSJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TLIJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLISJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TLISZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZSJO,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TLIZSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJISZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJZISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJOZIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSIJZO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSIJOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSIZJO,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TLSIZOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSIOJZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSIOZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSJIZO,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TLSJIOZ,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TLSJZIO,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TLSJZOI,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TLSJOIZ,X,O,X,X,X,X,X,X,O,O,X,X,O,X
TLSJOZI,X,O,X,X,X,X,X,X,O,O,X,X,O,X
TLSZIJO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSZIOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSZJIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TLSZJOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TLSZOIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSZOJI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TLSOIJZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSOIZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSOJIZ,X,O,X,X,X,X,X,X,X,O,X,X,O,X
TLSOJZI,X,O,X,X,X,X,X,X,X,O,X,X,O,X
TLSOZIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSOZJI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TLZIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZISOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TLZJISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZSIJO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLZSIOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZSJIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TLZSJOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TLZSOIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZSOJI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TLZOIJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TLZOISJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TLZOJIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOJSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLZOSJI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TLOIJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOISJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOJSZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOJZIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOSIJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOSJZI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLOSZJI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
