sequence,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEamB5nBTjBdsBur?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhBTjB/rBNsB6s?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhERhBGjBTmBXsBls?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEFhBXiBTjBxrBSx?B,v115@9gA8IeB8HeD8DeG8CeB8JeRAJvhEtmBTjBmlBXsB6s?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhEXhBTjBxrB8rB+s?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhEXhB5nBTjBmrB8r?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhETjBxmBFmBXnBSx?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEamBumBTjBXsB9s?B,v115@9gA8IeB8HeD8DeG8CeB8JeRAJvhEXiBTjBmlB9sBqr?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhETjBimB9sBGmBXs?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhB/rBxnBNsBCt?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhBxiB/rBNsBCt?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhExhBTjBUmBXsBGs?B
IZLSOJT,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLOTJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLOTSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
IZLOJTS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLOJST,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLOSTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLOSJT,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJTLSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJTLOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJTSLO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJTSOL,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZJTOLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJTOSL,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IZJLTSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJLTOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJLSTO,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJLSOT,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IZJLOTS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJLOST,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IZJSTLO,X,X,X,X,O,O,O,X,X,X,X,O,X,X
IZJSTOL,X,X,O,X,O,O,O,X,X,X,X,O,X,X
IZJSLTO,X,X,X,X,X,O,O,X,X,X,X,O,X,X
IZJSLOT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZJSOTL,X,X,O,X,O,O,O,X,X,X,X,O,X,X
IZJSOLT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZJOTLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJOTSL,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IZJOLTS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJOLST,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IZJOSTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IZJOSLT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZSTLJO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
IZSTLOJ,O,O,X,O,X,X,X,X,X,X,X,X,O,O
IZSTJLO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
IZSTJOL,X,O,O,X,X,O,X,X,X,X,X,O,O,O
IZSTOLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
IZSTOJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
IZSLTJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSLJTO,X,X,X,O,X,O,X,X,O,X,X,O,X,X
IZSLJOT,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSLOJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSJTLO,X,O,X,X,O,O,X,X,X,X,X,O,O,O
IZSJTOL,X,O,O,X,O,O,X,X,X,X,X,O,O,O
IZSJLTO,X,X,X,X,X,O,X,X,O,X,X,O,X,O
IZSJLOT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZSJOTL,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IZSJOLT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZSOTLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IZSOTJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IZSOLTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O
IZSOLJT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IZSOJLT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZOTLJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOTLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IZOTJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZOTJSL,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IZOTSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IZOTSJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IZOLTJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOLTSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
IZOLJTS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOLJST,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IZOLSTJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
IZOLSJT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IZOJTLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZOJTSL,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IZOJLTS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZOJLST,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IZOJSTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IZOJSLT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZOSTLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IZOSTJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IZOSLTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O
IZOSLJT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IZOSJLT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IOTLJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLJZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLZJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTLZSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTJSLZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTJSZL,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTJZLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTJZSL,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOTSLJZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,X,O,O,X,O,X,X,X,X,O,X,X,X,X
IOTSJZL,X,O,O,X,O,O,O,X,X,X,X,X,X,X
IOTSZLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IOTSZJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IOTZLJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTZLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IOTZJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTZJSL,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IOTZSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IOTZSJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IOLTJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTZJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLTZSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLJTSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLJSTZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLJSZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,X,X,O,X,O,O,O,X,X,X,X,X,X
IOLJZST,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IOLSTJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLSJZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
IOLSZJT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOLZTJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLZJTS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLZJST,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOLZSTJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
IOLZSJT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJTLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOJTSZL,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOJTZLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJTZSL,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJLSZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLZTS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJLZST,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IOJSTLZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJSLZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IOJSZLT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOJZTLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJZTSL,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOJZLTS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJZLST,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IOJZSTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IOJZSLT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOSTLJZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSTJZL,X,O,O,X,O,O,O,X,X,X,X,X,X,X
IOSTZLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IOSTZJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IOSLTJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSLJZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSLZJT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSJTZL,X,O,O,X,O,O,O,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJLZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,O,O,X,O,O,O,X,X,X,X,O,X,X
IOSJZLT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOSZTLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IOSZTJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IOSZLTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O
IOSZLJT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IOSZJLT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IOZTLJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZTLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IOZTJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOZTJSL,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IOZTSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IOZTSJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IOZLTJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZLTSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
IOZLJTS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZLJST,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOZLSTJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
IOZLSJT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOZJTLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOZJTSL,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IOZJLTS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOZJLST,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IOZJSTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IOZJSLT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOZSTLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IOZSTJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IOZSLTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O
IOZSLJT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IOZSJLT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
LTIJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJZOS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTISJZO,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTISJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISZJO,O,X,X,X,X,O,X,X,X,X,X,X,O,X
LTISZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJSO,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZJOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZSJO,O,X,X,X,X,O,X,X,X,X,X,X,O,X
LTIZSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJISZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIZOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJZISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJZOSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJOSZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJOZIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJOZSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSIJZO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSIJOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSIZJO,O,O,X,X,X,O,X,X,X,X,X,X,O,X
LTSIZOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSIOJZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSIOZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSJIZO,X,O,X,X,X,X,X,X,O,X,X,X,O,X
LTSJIOZ,X,O,X,X,X,X,X,X,O,X,X,X,O,X
LTSJZIO,X,O,X,X,X,X,X,X,O,X,X,X,O,X
LTSJZOI,X,O,X,X,X,X,X,X,O,X,X,X,O,X
LTSJOIZ,X,O,X,X,X,X,X,X,O,O,X,X,O,X
LTSJOZI,X,O,X,X,X,X,X,X,O,O,X,X,O,X
LTSZIJO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSZIOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTSZJIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
LTSZJOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
LTSZOIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTSZOJI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
LTSOIJZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSOIZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSOJIZ,X,O,X,X,X,X,X,X,X,O,X,X,O,X
LTSOJZI,X,O,X,X,X,X,X,X,X,O,X,X,O,X
LTSOZIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTSOZJI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
LTZIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISJO,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTZISOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
LTZJISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJOIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZJOSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZSIJO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTZSIOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTZSJIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
LTZSJOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
LTZSOIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTZSOJI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
LTZOIJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X
LTZOISJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
LTZOJIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZOJSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZOSIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LTZOSJI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
LTOIJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTOISJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOISZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X
LTOIZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOJISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJIZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJSIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTOJSZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTOJZIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOJZSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOSIJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTOSJZI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTOSZIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LTOSZJI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
LTOZIJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X
LTOZISJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
LTOZJIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOZJSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOZSIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LTOZSJI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
LITJSZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITJSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITJZSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LITJZOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LITJOSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITJOZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LITSJZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITSJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITSZJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LITSZOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITSOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITSOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITZJSO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LITZJOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LITZSJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LITZSOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITZOJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LITZOSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LITOJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITOJZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LITOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITOSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITOZJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LITOZSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LIJTSZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJTSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJTZSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJTZOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJTOSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJTOZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJSTZO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LIJSTOZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LIJSZTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJSZOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJSOTZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LIJSOZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJZTSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJZTOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJZSTO,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJZSOT,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJZOTS,O,X,X,O,X,O,O,O,X,X,X,X,X,X
LIJZOST,X,X,X,O,X,O,O,O,X,X,X,X,X,X
LIJOTSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJOTZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJOSTZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LIJOSZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJOZTS,O,X,X,O,X,O,O,O,X,X,X,X,X,X
LIJOZST,X,X,X,O,X,O,O,O,X,X,X,X,X,X
LISTJZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
