sequence,v115@GhA8HeB8FeD8EeE8JeZFJvhFzgBumB3iBNpBzqB6pB,v115@GhA8HeB8FeD8EeE8JeT/IvhFihB3iB9qBcrBTpBOqB,v115@GhA8HeB8FeD8EeE8Jei/IvhFRhB3iBTmBTpB0qBFqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBlhB3iBTpBxqB2vB,v115@GhA8HeB8FeD8EeE8JeT/IvhFdmBRiBCnBTpB0qBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFZlB0hBliBTpBCrBfrB,v115@GhA8HeB8FeD8EeE8JeRAJvhFumB3iBilB0pBzqBNpB,v115@GhA8HeB8FeD8EeE8JeOEJvhFzgBRiBCnB3pBzqBdqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBNqBGmBimBTpB0qB,v115@GhA8HeB8FeD8EeE8JeuGJvhF3iBNpBRlBilBzqB0pB,v115@GhA8HeB8FeD8EeE8JedFJvhFRhB3iBqqBTmB0pBOpB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBNpBzlBilBRvB,v115@GhA8HeB8FeD8EeE8Je2FJvhFRhB3iBNpBcrBTqB6pB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB
OTIZLOJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTIZLOS,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
OTIZJLS,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
OTIZJLO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OTIZJSL,O,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X
OTIZJSO,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
OTIZJOL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OTIZJOS,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
OTIZSLJ,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTIZSLO,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTIZSJL,O,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X
OTIZSJO,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
OTIZSOL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTIZSOJ,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X
OTIZOLJ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
OTIZOLS,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
OTIZOJL,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTIZOJS,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X
OTIZOSL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTIZOSJ,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X
OTIOLJS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OTIOLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLSJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OTIOLSZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OTIOLZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTIOLZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
OTIOJLS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OTIOJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJSL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
OTIOJSZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
