sequence,v115@GhA8HeB8FeD8EeE8JeZFJvhFzgBumB3iBNpBzqB6pB,v115@GhA8HeB8FeD8EeE8Jei/IvhFRhB3iBTmBTpB0qBFqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFxgBliB3mBTpB0qBiqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBlhB3iBTpBxqB2vB,v115@GhA8HeB8FeD8EeE8JeT/IvhFdmBRiBCnBTpB0qBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0hBliBTpBxqBKqBfrB,v115@GhA8HeB8FeD8EeE8JeT/IvhFZlB0hBliBTpBCrBfrB,v115@GhA8HeB8FeD8EeE8JeRAJvhFumB3iBilB0pBzqBNpB,v115@GhA8HeB8FeD8EeE8JeOEJvhFzgBRiBCnB3pBzqBdqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBRiBNqBCnBerBTpB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBNqBGmBimBTpB0qB,v115@GhA8HeB8FeD8EeE8JeT/IvhFihB3iB9qBcrBTpBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFamBumB3iBTpB0qBNqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBxlB0lBlmBTpB2vB,v115@GhA8HeB8FeD8EeE8JeuGJvhF3iBNpBRlBilBzqB0pB,v115@GhA8HeB8FeD8EeE8JedFJvhFRhB3iBqqBTmB0pBOpB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBNpBzlBilBRvB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je2FJvhFRhB3iBNpBcrBTqB6pB
OISOJTZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OISOJLT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OISOJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OISOJZT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OISOJZL,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OISOZTL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OISOZTJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OISOZLT,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OISOZLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OISOZJT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OISOZJL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZTLJS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZTLJO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZTLSJ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,O
OIZTLSO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OIZTLOJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZTLOS,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OIZTJLS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZTJLO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZTJSL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZTJSO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZTJOL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZTJOS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZTSLJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZTSLO,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZTSJL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZTSJO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZTSOL,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZTSOJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZTOLJ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZTOLS,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OIZTOJL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZTOJS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZTOSL,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZTOSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZLTJS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OIZLTJO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OIZLTSJ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O
OIZLTSO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O
OIZLTOJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OIZLTOS,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O
OIZLJTS,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O
OIZLJTO,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O
OIZLJST,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O
OIZLJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZLJOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZLJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZLSTJ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O
OIZLSTO,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O
OIZLSJT,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O
OIZLSJO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZLSOT,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
OIZLSOJ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZLOTJ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OIZLOTS,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
OIZLOJT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZLOJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZLOST,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
OIZLOSJ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZJTLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
OIZJTLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZJTSL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
OIZJTSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
OIZJTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZJTOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
OIZJLTS,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
OIZJLTO,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
OIZJLST,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
OIZJLSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJLOT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJLOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJSTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
OIZJSTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
OIZJSLT,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O
OIZJSLO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJSOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZJSOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJOTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZJOTS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZJOLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJOLS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZJOST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZJOSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSTLJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZSTLO,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZSTJL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZSTJO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZSTOL,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZSTOJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OIZSLTJ,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O
OIZSLTO,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O
OIZSLJT,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O
OIZSLJO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSLOT,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
OIZSLOJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSJTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
OIZSJTO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
OIZSJLT,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O
OIZSJLO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSJOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZSJOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSOTL,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZSOTJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZSOLT,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIZSOLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZSOJT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZSOJL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOTLJ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZOTLS,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OIZOTJL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZOTJS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZOTSL,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZOTSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZOLTJ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIZOLTS,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OIZOLJT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOLJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOLST,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OIZOLSJ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIZOJTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZOJTS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZOJLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOJLS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOJST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZOJSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOSTL,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZOSTJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OIZOSLT,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIZOSLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIZOSJT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OIZOSJL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLJS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLSJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLSZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTLZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OIOTLZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OIOTJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OIOTJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOTJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OIOTSLJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTSLZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOTSJL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OIOTSJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OIOTSZL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOTSZJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OIOTZLJ,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OIOTZLS,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OIOTZJL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOTZJS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OIOTZSL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOTZSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OIOLTJS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLTJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLTSJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLTSZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLTZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OIOLTZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLJTS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLJTZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLJST,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLJSZ,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLJZT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLJZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLSTJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLSTZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLSJT,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLSJZ,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLSZT,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OIOLSZJ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOLZTJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OIOLZTS,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OIOLZJT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLZJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOLZST,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OIOLZSJ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJTLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJTLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJTSL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOJTSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OIOJTZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJTZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OIOJLTS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOJLTZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJLST,O,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
OIOJLSZ,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
OIOJLZT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJLZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJSTL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOJSTZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OIOJSLT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOJSLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOJSZT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOJSZL,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOJZTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJZTS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJZLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJZLS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOJZST,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOJZSL,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOSTLJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOSTLZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOSTJL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OIOSTJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OIOSTZL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSTZJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OIOSLTJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOSLTZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOSLJT,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOSLJZ,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOSLZT,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OIOSLZJ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOSJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOSJTZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OIOSJLT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOSJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOSJZT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOSJZL,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OIOSZTL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSZTJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSZLT,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOSZLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOSZJT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOSZJL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZTLJ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZTLS,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OIOZTJL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZTJS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZTSL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZTSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZLTJ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZLTS,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OIOZLJT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZLJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZLST,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OIOZLSJ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OIOZJTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZJTS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZJLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZJLS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZJST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZJSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZSTL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZSTJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZSLT,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OIOZSLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZSJT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OIOZSJL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTIJSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OLTIJSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OLTIJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTIJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTIJOS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTIJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTISJZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
OLTISJO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
OLTISZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OLTISZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OLTISOJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTISOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTIZJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OLTIZJO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OLTIZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OLTIZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OLTIZOJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OLTIZOS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OLTIOJS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTIOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTIOSJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTIOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTIOZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OLTIOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTJISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OLTJISO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OLTJIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTJIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTJIOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OLTJIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OLTJSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OLTJSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OLTJSZI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
