sequence,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlBumB3iBtqBarB,v115@GhA8HeD8DeF8CeE8JeT/IvhEihB3iB9qBcrBOqB,v115@GhA8HeD8DeF8CeE8Jei/IvhERhB3iBTmB0qBFqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBlhB3iBxqB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEdmBRiBCnB0qBOqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0hBliBxqBKqBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlB0hBliBCrBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBxlB0lBlmB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEamBumB3iB0qBNqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBRiBNqBCnBerB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBNqBGmBimB0qB,v115@GhA8HeD8DeF8CeE8JeiBJvhE3iBxkBcrB9qBmpB,v115@GhA8HeD8DeF8CeE8Jex/IvhEihB3iB9qBcrBmpB,v115@GhA8HeD8DeF8CeE8JeT/IvhExgBliB3mB0qBiqB
IZLJSTO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLJSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLJOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,O,X,X,O,O,O,X,X,X,X,O,O,X
IZLSTOJ,X,O,O,X,O,O,O,X,X,X,X,O,O,X
IZLSJTO,X,X,X,X,X,O,O,X,O,X,X,O,X,X
IZLSJOT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZLSOTJ,X,O,O,X,O,O,O,X,X,X,X,O,X,X
IZLSOJT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZLOTJS,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,O,O,X,O,O,O,X,X,X,X,X,X,X
IZLOJTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLOJST,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,O,O,X,O,O,O,X,X,X,X,O,X,X
IZLOSJT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZJTLSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTLOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJTSOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IZJLTOS,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IZJLSTO,X,X,X,O,X,X,X,X,O,X,X,O,X,X
IZJLSOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJSLTO,X,X,X,O,X,O,X,X,O,X,X,O,X,X
IZJSLOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJSOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJSOLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJOLST,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
IZSTLOJ,X,O,O,X,X,O,X,X,X,X,X,O,O,O
IZSTJLO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
IZSTJOL,O,O,X,O,X,X,X,X,X,X,X,X,O,O
IZSTOLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
IZSTOJL,O,O,X,O,X,X,X,X,X,X,X,X,X,O
IZSLTJO,X,O,X,X,O,O,X,X,X,X,X,O,O,O
IZSLTOJ,X,O,O,X,O,O,X,X,X,X,X,O,O,O
IZSLJTO,X,X,X,X,X,O,X,X,O,X,X,O,X,O
IZSLJOT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZSLOTJ,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IZSLOJT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZSJTLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSJLTO,X,X,X,O,X,O,X,X,O,X,X,O,X,X
IZSJLOT,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSJOLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IZSOTJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IZSOLTJ,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IZSOLJT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZSOJTL,O,X,O,O,X,X,X,X,X,X,X,X,X,O
IZSOJLT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,O,X,O,O,O,X,X,X,X,X,X,X
IZOTJLS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOTJSL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IZOTSJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IZOLTJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,O,O,X,O,O,O,X,X,X,X,X,X,X
IZOLJTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,O,O,X,O,O,O,X,X,X,X,O,X,X
IZOLSJT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZOJTLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOJTSL,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOJLST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOJSLT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IZOSTJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IZOSLTJ,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IZOSLJT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZOSJTL,O,X,O,O,X,X,X,X,X,X,X,X,X,O
IZOSJLT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTLJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTLSZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOTLZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTLZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTJLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTJSZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTSLZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IOTSJLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTSJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IOTSZLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IOTSZJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IOTZLJS,X,O,O,X,O,X,X,X,X,O,X,X,X,X
IOTZLSJ,X,O,O,X,O,O,O,X,X,X,X,X,X,X
IOTZJLS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTZJSL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IOTZSJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IOLTJSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLTJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLTSZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOLTZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOLTZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOLJTSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLJTZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLJSZT,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IOLJZTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLJZST,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLSTZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLSJZT,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IOLSZTJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IOLSZJT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOLZTJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IOLZJTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJST,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IOLZSJT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOJTLSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJTLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJTSZL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJTZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJLTZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,X,X,O,X,O,O,O,X,X,X,X,X,X
IOJLSZT,X,X,O,O,X,O,O,O,X,X,X,X,X,X
IOJLZTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJLZST,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJSTZL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJSLTZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJSLZT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJSZTL,O,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJSZLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJZTLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJZLTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJZLST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJZSLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOSTLJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOSTLZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IOSTJLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOSTJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IOSTZLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IOSTZJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IOSLTJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOSLTZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,O
IOSLJTZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOSLJZT,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IOSLZTJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X
IOSLZJT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOSJTLZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSJTZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
IOSJLTZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSJLZT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOSJZTL,O,X,O,O,X,X,X,O,X,X,X,X,X,X
IOSJZLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOSZTLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IOSZTJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IOSZLTJ,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IOSZLJT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IOSZJTL,O,X,O,O,X,X,X,X,X,X,X,X,X,O
IOSZJLT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,O,X,O,O,O,X,X,X,X,X,X,X
IOZTJLS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZTJSL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IOZTSJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IOZLTJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,O,O,X,O,O,O,X,X,X,X,X,X,X
IOZLJTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZLJST,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,O,O,X,O,O,O,X,X,X,X,O,X,X
IOZLSJT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOZJTLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZJTSL,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOZJLST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZJSLT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IOZSTJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IOZSLTJ,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IOZSLJT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IOZSJTL,O,X,O,O,X,X,X,X,X,X,X,X,X,O
IOZSJLT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISJZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTISJOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTISZJO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
LTISZOJ,X,X,X,X,X,O,O,X,X,X,X,X,O,X
LTISOJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTISOZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIZJSO,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTIZJOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZSJO,X,X,X,X,O,O,O,X,X,X,X,X,O,X
LTIZSOJ,X,X,X,X,O,O,O,X,X,X,X,X,O,X
LTIZOJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTIZOSJ,X,X,X,X,O,O,O,X,X,X,X,X,O,X
LTIOJSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIOJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIOZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTIOZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTJISZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJISOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJSOZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJZISO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJOISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJOSZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJOZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJOZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSIJZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSIJOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSIZJO,X,X,X,X,X,X,O,X,X,X,X,X,O,X
LTSIZOJ,X,X,O,X,X,X,O,X,X,X,X,X,O,X
LTSIOJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSIOZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,O
LTSJIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSJOZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSZIJO,X,O,X,X,X,X,X,X,X,X,X,X,O,O
LTSZIOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
LTSZJIO,X,O,X,X,X,X,X,X,X,X,X,X,O,O
LTSZJOI,X,O,X,X,X,X,X,X,X,X,X,X,O,O
LTSZOIJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
LTSZOJI,X,O,X,X,X,X,X,X,X,O,X,X,O,O
LTSOIJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSOIZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,O
LTSOJIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSOJZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSOZIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
LTSOZJI,X,O,X,X,X,X,X,X,X,O,X,X,X,O
LTZIJSO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
LTZIJOS,X,O,X,X,O,X,X,X,X,X,X,X,O,X
LTZISJO,X,O,X,X,O,O,O,X,X,X,X,X,O,X
LTZISOJ,X,O,X,X,O,O,O,X,X,X,X,X,O,X
LTZIOJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LTZIOSJ,X,O,X,X,O,X,O,X,X,X,X,X,O,X
LTZJISO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
LTZJIOS,X,O,X,X,O,X,X,X,X,X,X,X,O,X
LTZJSIO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
LTZJSOI,X,O,X,X,O,X,X,X,X,X,X,X,O,X
LTZJOIS,X,O,X,X,O,X,X,X,X,O,X,X,O,X
LTZJOSI,X,O,X,X,O,X,X,X,X,O,X,X,O,X
LTZSIJO,X,O,X,X,O,X,X,X,X,X,X,X,O,O
LTZSIOJ,X,O,O,X,O,X,X,X,X,X,X,X,O,O
LTZSJIO,X,O,X,X,O,X,X,X,X,X,X,X,O,O
LTZSJOI,X,O,X,X,O,X,X,X,X,X,X,X,O,O
LTZSOIJ,X,O,O,X,O,X,X,X,X,X,X,X,O,O
LTZSOJI,X,O,X,X,O,X,X,X,X,O,X,X,O,O
LTZOIJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LTZOISJ,X,O,O,X,O,X,O,X,X,X,X,X,O,X
LTZOJIS,X,O,X,X,O,X,X,X,X,O,X,X,O,X
LTZOJSI,X,O,X,X,O,X,X,X,X,O,X,X,O,X
LTZOSIJ,X,O,O,X,O,X,X,X,X,X,X,X,O,O
LTZOSJI,X,O,X,X,O,X,X,X,X,O,X,X,O,O
LTOIJSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTOIJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOISJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTOISZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X
LTOIZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTOIZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTOJISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOJSZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOJZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTOJZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTOSIJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOSIZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,O
LTOSJIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOSJZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOSZIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
LTOSZJI,X,O,X,X,X,X,X,X,X,O,X,X,X,O
LTOZIJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LTOZISJ,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTOZJIS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LTOZJSI,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LTOZSIJ,X,O,X,X,O,X,X,X,X,X,X,X,X,O
LTOZSJI,X,O,X,X,O,X,X,X,X,O,X,X,X,O
LITJSZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LITJSOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LITJZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITJZOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITJOSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LITJOZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITSJZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LITSJOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LITSZJO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITSZOJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITSOJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LITSOZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITZJSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITZJOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITZSJO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LITZSOJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LITZOJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LITZOSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LITOJSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LITOJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITOSJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LITOSZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITOZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LITOZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LIJTSZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJTSOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJTZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJTZOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJTOSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJTOZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJSTZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJSTOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJSZTO,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJSZOT,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJSOTZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJSOZT,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LIJZTSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LIJZTOS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LIJZSTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJZSOT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJZOTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LIJZOST,X,X,X,O,X,X,X,X,X,X,X,X,X,X
