sequence,v115@RhB8DeB8AeC8CeE8JeT/IvhFihB3iBcoB9qBcrBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlBumB3iBcoBtqBarB,v115@RhB8DeB8AeC8CeE8Jei/IvhFRhB3iBcoBTmB0qBFqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gBlhB3iBcoBxqB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhFdmBRiBcoBCnB0qBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlB0hBliBcoBCrBfrB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gB0hBSoBNqBmnBXrB,v115@RhB8DeB8AeC8CeE8JeT/IvhFamBumB3iBcoB0qBNqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBxlB0lBlmB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBNqBGmBimB0qB,v115@RhB8DeB8AeC8CeE8JeT/IvhFxgBliBcoB3mB0qBiqB,v115@RhB8DeB8AeC8CeE8Jex/IvhFihB3iBcoB9qBcrBmpB,v115@RhB8DeB8AeC8CeE8JeiBJvhF3iBcoBxkBcrB9qBmpB
ZTJSOIL,X,O,X,X,X,X,X,X,O,O,X,X,X
ZTJSOIZ,X,O,X,X,X,X,X,X,O,X,O,X,X
ZTJSOLI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTJSOLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTJSOZI,O,O,X,X,X,X,X,X,X,X,O,X,X
ZTJSOZL,O,X,X,X,X,X,X,X,X,O,O,X,X
ZTJZILS,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTJZILO,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTJZISL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTJZISO,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTJZIOL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTJZIOS,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTJZLIS,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTJZLIO,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTJZLSI,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTJZLSO,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTJZLOI,O,X,X,X,O,X,O,O,X,X,X,O,X
ZTJZLOS,O,X,X,X,O,X,O,O,X,X,X,O,X
ZTJZSIL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTJZSIO,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTJZSLI,O,X,X,X,X,X,X,O,X,X,O,O,X
ZTJZSLO,O,X,X,X,X,X,X,O,X,X,O,O,X
ZTJZSOI,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTJZSOL,O,X,X,X,X,X,X,X,X,O,O,O,X
ZTJZOIL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTJZOIS,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTJZOLI,O,X,X,X,O,X,O,X,X,X,X,O,X
ZTJZOLS,O,X,X,X,O,X,O,X,X,X,X,O,X
ZTJZOSI,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTJZOSL,O,X,X,X,X,X,X,X,X,O,O,O,X
ZTJOILS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTJOILZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJOISL,X,O,X,X,X,X,X,X,O,O,X,X,X
ZTJOISZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ZTJOIZL,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJOIZS,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJOLIS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTJOLIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJOLSI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTJOLSZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTJOLZI,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTJOLZS,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTJOSIL,X,O,X,X,X,X,X,X,O,O,X,X,X
ZTJOSIZ,X,O,X,X,X,X,X,X,O,X,O,X,X
ZTJOSLI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTJOSLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTJOSZI,O,O,X,X,X,X,X,X,X,X,O,X,X
ZTJOSZL,O,X,X,X,X,X,X,X,X,O,O,X,X
ZTJOZIL,O,O,X,X,X,X,X,X,X,X,X,X,X
ZTJOZIS,O,O,X,X,X,X,X,X,X,X,X,X,X
ZTJOZLI,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTJOZLS,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTJOZSI,O,O,X,X,X,X,X,X,X,X,O,X,X
ZTJOZSL,O,X,X,X,X,X,X,X,X,O,O,X,X
ZTSILJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTSILJO,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTSILZJ,X,X,X,X,X,O,X,X,X,X,X,O,X
ZTSILZO,X,X,O,X,X,O,O,X,X,X,X,O,X
ZTSILOJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTSILOZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ZTSIJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTSIJLO,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTSIJZL,X,O,X,O,X,X,X,X,X,X,X,O,X
ZTSIJZO,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTSIJOL,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTSIJOZ,X,O,X,O,X,X,X,X,X,X,O,X,X
ZTSIZLJ,O,X,X,X,X,X,X,X,X,X,O,O,O
ZTSIZLO,O,X,O,X,X,X,O,X,X,X,O,O,O
ZTSIZJL,O,O,X,O,X,X,X,X,X,X,X,O,X
ZTSIZJO,O,O,X,O,X,X,X,X,X,X,O,O,X
ZTSIZOL,O,X,X,X,X,X,O,X,X,X,O,O,X
ZTSIZOJ,O,O,X,O,X,X,X,X,X,X,O,X,X
ZTSIOLJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTSIOLZ,X,X,X,X,X,O,O,X,X,X,O,X,X
ZTSIOJL,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTSIOJZ,X,O,X,O,X,X,X,X,X,X,O,X,X
ZTSIOZL,O,X,X,X,X,X,O,X,X,X,O,O,X
ZTSIOZJ,O,O,X,O,X,X,X,X,X,X,O,X,X
ZTSLIJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTSLIJO,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTSLIZJ,X,X,X,X,X,O,X,X,X,X,X,O,X
ZTSLIZO,X,X,O,X,X,O,O,X,X,X,X,O,X
ZTSLIOJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTSLIOZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ZTSLJIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTSLJIO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTSLJZI,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTSLJZO,X,X,X,X,X,X,O,X,X,X,X,X,X
ZTSLJOI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTSLJOZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ZTSLZIJ,O,X,X,X,O,X,X,X,X,X,O,O,X
ZTSLZIO,O,X,O,X,O,X,O,X,X,X,O,O,X
ZTSLZJI,O,X,X,X,O,X,X,X,X,X,O,O,X
ZTSLZJO,O,X,X,X,O,X,O,X,X,X,O,O,X
ZTSLZOI,O,X,O,X,O,X,O,X,X,X,O,O,X
ZTSLZOJ,O,X,X,X,O,X,O,X,X,X,O,O,X
ZTSLOIJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTSLOIZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ZTSLOJI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTSLOJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ZTSLOZI,O,X,X,X,O,X,O,X,X,X,O,X,X
ZTSLOZJ,O,X,X,X,O,X,O,X,X,X,O,X,X
ZTSJILZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTSJILO,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTSJIZL,X,O,X,O,X,X,X,X,X,X,X,O,X
ZTSJIZO,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTSJIOL,X,O,X,O,X,X,X,X,O,O,X,X,X
ZTSJIOZ,X,O,X,O,X,X,X,X,O,X,O,X,X
ZTSJLIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTSJLIO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTSJLZI,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTSJLZO,X,X,X,X,X,X,O,X,X,X,X,X,X
ZTSJLOI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTSJLOZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ZTSJZIL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTSJZIO,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTSJZLI,O,X,X,X,X,X,X,O,X,X,O,O,X
ZTSJZLO,O,X,X,X,X,X,O,O,X,X,O,O,X
ZTSJZOI,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTSJZOL,O,X,X,X,X,X,O,X,X,O,O,O,X
ZTSJOIL,X,O,X,O,X,X,X,X,O,O,X,X,X
ZTSJOIZ,X,O,X,O,X,X,X,X,O,X,O,X,X
ZTSJOLI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTSJOLZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ZTSJOZI,O,O,X,X,X,X,X,X,X,X,O,X,X
ZTSJOZL,O,X,X,X,X,X,O,X,X,O,O,X,X
ZTSZILJ,O,X,X,X,X,X,X,X,X,X,O,O,O
ZTSZILO,O,X,O,X,X,X,O,X,X,X,O,O,O
ZTSZIJL,O,O,X,O,X,X,X,X,X,X,X,O,X
ZTSZIJO,O,O,X,O,X,X,X,X,X,X,O,O,X
ZTSZIOL,O,X,X,X,X,X,O,X,X,X,O,O,X
ZTSZIOJ,O,O,X,O,X,X,X,X,X,X,O,X,X
ZTSZLIJ,O,X,X,X,O,X,X,X,X,X,O,O,O
ZTSZLIO,O,X,O,X,O,X,O,X,X,X,O,O,O
ZTSZLJI,O,X,X,X,O,X,X,O,X,X,O,O,X
ZTSZLJO,O,X,X,X,O,X,O,O,X,X,O,O,X
ZTSZLOI,O,X,O,X,O,X,O,X,X,X,O,O,X
ZTSZLOJ,O,X,X,X,O,X,O,X,X,X,O,O,X
ZTSZJIL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTSZJIO,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTSZJLI,O,X,X,X,X,X,X,O,X,X,O,O,X
ZTSZJLO,O,X,X,X,X,X,O,O,X,X,O,O,X
ZTSZJOI,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTSZJOL,O,X,X,X,X,X,O,X,X,O,O,O,X
ZTSZOIL,O,X,O,X,X,X,O,X,X,X,O,O,X
ZTSZOIJ,O,O,O,O,X,X,X,X,X,X,O,X,X
ZTSZOLI,O,X,O,X,O,X,O,X,X,X,O,O,X
ZTSZOLJ,O,X,O,X,O,X,O,X,X,X,O,O,X
ZTSZOJI,O,O,O,X,X,X,X,X,X,X,O,O,X
ZTSZOJL,O,X,O,X,X,X,O,X,X,O,O,O,X
ZTSOILJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTSOILZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ZTSOIJL,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTSOIJZ,X,O,X,O,X,X,X,X,X,X,O,X,X
ZTSOIZL,O,X,O,X,X,X,O,X,X,X,O,O,X
ZTSOIZJ,O,O,O,O,X,X,X,X,X,X,O,X,X
ZTSOLIJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTSOLIZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ZTSOLJI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTSOLJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ZTSOLZI,O,X,X,X,O,X,O,X,X,X,O,X,X
ZTSOLZJ,O,X,X,X,O,X,O,X,X,X,O,X,X
ZTSOJIL,X,O,X,O,X,X,X,X,O,O,X,X,X
ZTSOJIZ,X,O,X,O,X,X,X,X,O,X,O,X,X
ZTSOJLI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTSOJLZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ZTSOJZI,O,O,X,X,X,X,X,X,X,X,O,X,X
ZTSOJZL,O,X,X,X,X,X,O,X,X,O,O,X,X
ZTSOZIL,O,X,O,X,X,X,O,X,X,X,O,O,X
ZTSOZIJ,O,O,O,O,X,X,X,X,X,X,O,X,X
ZTSOZLI,O,X,O,X,O,X,O,X,X,X,O,O,X
ZTSOZLJ,O,X,O,X,O,X,O,X,X,X,O,O,X
ZTSOZJI,O,O,O,X,X,X,X,X,X,X,O,O,X
ZTSOZJL,O,X,O,X,X,X,O,X,X,O,O,O,X
ZTZILJS,O,X,X,X,O,X,X,X,X,X,X,O,X
ZTZILJO,O,X,X,X,O,X,X,X,X,X,X,O,X
ZTZILSJ,O,X,X,X,O,O,X,X,X,X,X,O,O
ZTZILSO,O,X,X,X,O,O,X,X,X,X,X,O,O
ZTZILOJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTZILOS,O,X,X,X,O,O,X,X,X,X,X,O,X
ZTZIJLS,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZIJLO,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZIJSL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZIJSO,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZIJOL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZIJOS,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZISLJ,O,X,X,X,X,X,X,X,X,X,O,O,O
ZTZISLO,O,X,X,X,X,X,X,X,X,X,O,O,O
ZTZISJL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZISJO,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTZISOL,O,X,X,X,X,X,X,X,X,X,O,O,X
ZTZISOJ,O,O,X,X,X,X,X,X,X,X,O,X,X
ZTZIOLJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTZIOLS,O,X,X,X,O,O,X,X,X,X,X,O,X
ZTZIOJL,O,O,X,X,X,X,X,X,X,X,X,X,X
ZTZIOJS,O,O,X,X,X,X,X,X,X,X,X,X,X
ZTZIOSL,O,X,X,X,X,X,X,X,X,X,O,O,X
ZTZIOSJ,O,O,X,X,X,X,X,X,X,X,O,X,X
ZTZLIJS,O,X,X,X,O,X,X,X,X,X,X,O,X
ZTZLIJO,O,X,X,X,O,X,X,X,X,X,X,O,X
ZTZLISJ,O,X,X,X,O,O,X,X,X,X,X,O,O
ZTZLISO,O,X,X,X,O,O,X,X,X,X,X,O,O
ZTZLIOJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTZLIOS,O,X,X,X,O,O,X,X,X,X,X,O,X
ZTZLJIS,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTZLJIO,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTZLJSI,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTZLJSO,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTZLJOI,O,X,X,X,O,X,O,O,X,X,X,O,X
ZTZLJOS,O,X,X,X,O,X,O,O,X,X,X,O,X
ZTZLSIJ,O,X,X,X,O,X,X,X,X,X,O,O,O
ZTZLSIO,O,X,O,X,O,X,X,X,X,X,O,O,O
ZTZLSJI,O,X,X,X,O,X,X,O,X,X,O,O,X
ZTZLSJO,O,X,X,X,O,X,X,O,X,X,O,O,X
ZTZLSOI,O,X,O,X,O,X,X,X,X,X,O,O,X
ZTZLSOJ,O,X,X,X,O,X,O,X,X,X,O,O,X
ZTZLOIJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTZLOIS,O,X,O,X,O,O,X,X,X,X,X,O,X
ZTZLOJI,O,X,X,X,O,X,O,X,X,X,X,O,X
ZTZLOJS,O,X,X,X,O,X,O,X,X,X,X,O,X
ZTZLOSI,O,X,O,X,O,X,X,X,X,X,O,O,X
ZTZLOSJ,O,X,X,X,O,X,O,X,X,X,O,O,X
ZTZJILS,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZJILO,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZJISL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZJISO,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZJIOL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZJIOS,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZJLIS,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTZJLIO,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTZJLSI,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTZJLSO,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTZJLOI,O,X,X,X,O,X,O,O,X,X,X,O,X
ZTZJLOS,O,X,X,X,O,X,O,O,X,X,X,O,X
ZTZJSIL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZJSIO,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTZJSLI,O,X,X,X,X,X,X,O,X,X,O,O,X
ZTZJSLO,O,X,X,X,X,X,X,O,X,X,O,O,X
ZTZJSOI,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTZJSOL,O,X,X,X,X,X,X,X,X,O,O,O,X
ZTZJOIL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZJOIS,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZJOLI,O,X,X,X,O,X,O,X,X,X,X,O,X
ZTZJOLS,O,X,X,X,O,X,O,X,X,X,X,O,X
ZTZJOSI,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTZJOSL,O,X,X,X,X,X,X,X,X,O,O,O,X
ZTZSILJ,O,X,X,X,X,X,X,X,X,X,O,O,O
ZTZSILO,O,X,O,X,X,X,X,X,X,X,O,O,O
ZTZSIJL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZSIJO,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTZSIOL,O,X,X,X,X,X,X,X,X,X,O,O,X
ZTZSIOJ,O,O,X,X,X,X,X,X,X,X,O,X,X
ZTZSLIJ,O,X,X,X,O,X,X,X,X,X,O,O,O
ZTZSLIO,O,X,O,X,O,X,X,X,X,X,O,O,O
ZTZSLJI,O,X,X,X,O,X,X,O,X,X,O,O,X
ZTZSLJO,O,X,X,X,O,X,X,O,X,X,O,O,X
ZTZSLOI,O,X,O,X,O,X,X,X,X,X,O,O,X
ZTZSLOJ,O,X,X,X,O,X,O,X,X,X,O,O,X
ZTZSJIL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTZSJIO,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTZSJLI,O,X,X,X,X,X,X,O,X,X,O,O,X
ZTZSJLO,O,X,X,X,X,X,X,O,X,X,O,O,X
ZTZSJOI,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTZSJOL,O,X,X,X,X,X,X,X,X,O,O,O,X
ZTZSOIL,O,X,O,X,X,X,X,X,X,X,O,O,X
ZTZSOIJ,O,O,O,X,X,X,X,X,X,X,O,X,X
ZTZSOLI,O,X,O,X,O,X,X,X,X,X,O,O,X
ZTZSOLJ,O,X,O,X,O,X,O,X,X,X,O,O,X
ZTZSOJI,O,O,O,X,X,X,X,X,X,X,O,O,X
ZTZSOJL,O,X,O,X,X,X,X,X,X,O,O,O,X
ZTZOILJ,O,X,O,X,O,X,O,X,X,X,X,X,X
ZTZOILS,O,X,O,X,O,O,X,X,X,X,X,O,X
ZTZOIJL,O,O,O,X,X,X,X,X,X,X,X,X,X
ZTZOIJS,O,O,O,X,X,X,X,X,X,X,X,X,X
ZTZOISL,O,X,O,X,X,X,X,X,X,X,O,O,X
ZTZOISJ,O,O,O,X,X,X,X,X,X,X,O,X,X
ZTZOLIJ,O,X,O,X,O,X,O,X,X,X,X,X,X
ZTZOLIS,O,X,O,X,O,O,X,X,X,X,X,O,X
ZTZOLJI,O,X,O,X,O,X,O,X,X,X,X,O,X
ZTZOLJS,O,X,O,X,O,X,O,X,X,X,X,O,X
ZTZOLSI,O,X,O,X,O,X,X,X,X,X,O,O,X
ZTZOLSJ,O,X,O,X,O,X,O,X,X,X,O,O,X
ZTZOJIL,O,O,O,X,X,X,X,X,X,X,X,O,X
ZTZOJIS,O,O,O,X,X,X,X,X,X,X,X,O,X
ZTZOJLI,O,X,O,X,O,X,O,X,X,X,X,O,X
ZTZOJLS,O,X,O,X,O,X,O,X,X,X,X,O,X
ZTZOJSI,O,O,O,X,X,X,X,X,X,X,O,O,X
ZTZOJSL,O,X,O,X,X,X,X,X,X,O,O,O,X
ZTZOSIL,O,X,O,X,X,X,X,X,X,X,O,O,X
ZTZOSIJ,O,O,O,X,X,X,X,X,X,X,O,X,X
ZTZOSLI,O,X,O,X,O,X,X,X,X,X,O,O,X
ZTZOSLJ,O,X,O,X,O,X,O,X,X,X,O,O,X
ZTZOSJI,O,O,O,X,X,X,X,X,X,X,O,O,X
ZTZOSJL,O,X,O,X,X,X,X,X,X,O,O,O,X
ZTOILJS,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTOILJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTOILSJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTOILSZ,X,X,O,X,X,O,X,X,X,X,X,X,X
ZTOILZJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTOILZS,O,X,O,X,O,O,X,X,X,X,X,O,X
ZTOIJLS,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTOIJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTOIJSL,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTOIJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTOIJZL,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTOIJZS,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTOISLJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTOISLZ,X,X,O,X,X,O,X,X,X,X,O,X,X
ZTOISJL,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTOISJZ,X,O,X,O,X,X,X,X,X,X,O,X,X
ZTOISZL,O,X,O,X,X,X,X,X,X,X,O,O,X
ZTOISZJ,O,O,O,O,X,X,X,X,X,X,O,X,X
ZTOIZLJ,O,X,O,X,O,X,O,X,X,X,X,X,X
ZTOIZLS,O,X,O,X,O,O,X,X,X,X,X,O,X
ZTOIZJL,O,O,O,O,X,X,X,X,X,X,X,X,X
ZTOIZJS,O,O,O,O,X,X,X,X,X,X,X,X,X
ZTOIZSL,O,X,O,X,X,X,X,X,X,X,O,O,X
ZTOIZSJ,O,O,O,O,X,X,X,X,X,X,O,X,X
ZTOLIJS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTOLIJZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTOLISJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTOLISZ,X,X,O,X,X,O,X,X,X,X,X,X,X
ZTOLIZJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTOLIZS,O,X,O,X,O,O,X,X,X,X,X,O,X
ZTOLJIS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTOLJIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTOLJSI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTOLJSZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTOLJZI,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTOLJZS,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTOLSIJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTOLSIZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ZTOLSJI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTOLSJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ZTOLSZI,O,X,X,X,O,X,O,X,X,X,O,X,X
ZTOLSZJ,O,X,X,X,O,X,O,X,X,X,O,X,X
ZTOLZIJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTOLZIS,O,X,O,X,O,O,X,X,X,X,X,O,X
ZTOLZJI,O,X,X,X,O,X,O,X,X,X,X,O,X
ZTOLZJS,O,X,X,X,O,X,O,X,X,X,X,O,X
ZTOLZSI,O,X,O,X,O,X,X,X,X,X,O,O,X
ZTOLZSJ,O,X,X,X,O,X,O,X,X,X,O,O,X
ZTOJILS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTOJILZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTOJISL,X,O,X,X,X,X,X,X,O,O,X,X,X
ZTOJISZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ZTOJIZL,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTOJIZS,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTOJLIS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTOJLIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTOJLSI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTOJLSZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTOJLZI,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTOJLZS,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTOJSIL,X,O,X,X,X,X,X,X,O,O,X,X,X
ZTOJSIZ,X,O,X,X,X,X,X,X,O,X,O,X,X
ZTOJSLI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTOJSLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTOJSZI,O,O,X,X,X,X,X,X,X,X,O,X,X
ZTOJSZL,O,X,X,X,X,X,X,X,X,O,O,X,X
ZTOJZIL,O,O,X,X,X,X,X,X,X,X,X,X,X
ZTOJZIS,O,O,X,X,X,X,X,X,X,X,X,X,X
ZTOJZLI,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTOJZLS,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTOJZSI,O,O,X,X,X,X,X,X,X,X,O,X,X
ZTOJZSL,O,X,X,X,X,X,X,X,X,O,O,X,X
ZTOSILJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTOSILZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ZTOSIJL,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTOSIJZ,X,O,X,O,X,X,X,X,X,X,O,X,X
ZTOSIZL,O,X,O,X,X,X,O,X,X,X,O,O,X
ZTOSIZJ,O,O,O,O,X,X,X,X,X,X,O,X,X
ZTOSLIJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTOSLIZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ZTOSLJI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTOSLJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ZTOSLZI,O,X,X,X,O,X,O,X,X,X,O,X,X
ZTOSLZJ,O,X,X,X,O,X,O,X,X,X,O,X,X
ZTOSJIL,X,O,X,O,X,X,X,X,O,O,X,X,X
ZTOSJIZ,X,O,X,O,X,X,X,X,O,X,O,X,X
ZTOSJLI,X,O,X,X,X,X,X,X,X,O,X,X,X
