sequence,v115@RhB8DeB8AeC8CeE8JeT/IvhFihB3iBcoB9qBcrBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlBumB3iBcoBtqBarB,v115@RhB8DeB8AeC8CeE8Jei/IvhFRhB3iBcoBTmB0qBFqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gBlhB3iBcoBxqB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhFdmBRiBcoBCnB0qBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlB0hBliBcoBCrBfrB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gB0hBSoBNqBmnBXrB,v115@RhB8DeB8AeC8CeE8JeT/IvhFamBumB3iBcoB0qBNqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBxlB0lBlmB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBNqBGmBimB0qB,v115@RhB8DeB8AeC8CeE8JeT/IvhFxgBliBcoB3mB0qBiqB,v115@RhB8DeB8AeC8CeE8Jex/IvhFihB3iBcoB9qBcrBmpB,v115@RhB8DeB8AeC8CeE8JeiBJvhF3iBcoBxkBcrB9qBmpB
ZTISJOZ,X,O,X,O,X,X,X,X,X,X,O,X,X
ZTISZLJ,O,X,X,X,X,X,X,X,X,X,O,O,O
ZTISZLO,O,X,X,X,X,X,X,X,X,X,O,O,O
ZTISZJL,O,O,X,O,X,X,X,X,X,X,X,O,X
ZTISZJO,O,O,X,O,X,X,X,X,X,X,O,O,X
ZTISZOL,O,X,X,X,X,X,X,X,X,X,O,O,X
ZTISZOJ,O,O,X,O,X,X,X,X,X,X,O,X,X
ZTISOLJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTISOLZ,X,X,X,X,X,O,X,X,X,X,O,X,X
ZTISOJL,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTISOJZ,X,O,X,O,X,X,X,X,X,X,O,X,X
ZTISOZL,O,X,X,X,X,X,X,X,X,X,O,O,X
ZTISOZJ,O,O,X,O,X,X,X,X,X,X,O,X,X
ZTIZLJS,O,X,X,X,O,X,X,X,X,X,X,O,X
ZTIZLJO,O,X,X,X,O,X,X,X,X,X,X,O,X
ZTIZLSJ,O,X,X,X,O,O,X,X,X,X,X,O,O
ZTIZLSO,O,X,X,X,O,O,X,X,X,X,X,O,O
ZTIZLOJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTIZLOS,O,X,X,X,O,O,X,X,X,X,X,O,X
ZTIZJLS,O,O,X,O,X,X,X,X,X,X,X,O,X
ZTIZJLO,O,O,X,O,X,X,X,X,X,X,X,O,X
ZTIZJSL,O,O,X,O,X,X,X,X,X,X,X,O,X
ZTIZJSO,O,O,X,O,X,X,X,X,X,X,X,O,X
ZTIZJOL,O,O,X,O,X,X,X,X,X,X,X,O,X
ZTIZJOS,O,O,X,O,X,X,X,X,X,X,X,O,X
ZTIZSLJ,O,X,X,X,X,X,X,X,X,X,O,O,O
ZTIZSLO,O,X,X,X,X,X,X,X,X,X,O,O,O
ZTIZSJL,O,O,X,O,X,X,X,X,X,X,X,O,X
ZTIZSJO,O,O,X,O,X,X,X,X,X,X,O,O,X
ZTIZSOL,O,X,X,X,X,X,X,X,X,X,O,O,X
ZTIZSOJ,O,O,X,O,X,X,X,X,X,X,O,X,X
ZTIZOLJ,O,X,X,X,O,X,O,X,X,X,X,X,X
